MAE,TS,EXP
0.7764034287727836,100,coh._rotifers_algae
0.7851082153974082,100,coh._rotifers_algae
1.3050301343092598,100,coh._rotifers_algae
0.7669598844799673,100,coh._rotifers_algae
0.7808376813338657,100,coh._rotifers_algae
0.7752745558424728,100,coh._rotifers_algae
1.2976891419677365,1000,coh._rotifers_algae
0.9767098266878015,1000,coh._rotifers_algae
0.9847805959200057,1000,coh._rotifers_algae
1.0329894655935912,1000,coh._rotifers_algae
1.310384005581534,1000,coh._rotifers_algae
0.9773633948238121,1000,coh._rotifers_algae
0.9907640741605166,1000,coh._rotifers_algae
1.0189839396729377,1000,coh._rotifers_algae
1.3052514278764864,1000,coh._rotifers_algae
0.9792360006994633,1000,coh._rotifers_algae
1.0358069787617556,1000,coh._rotifers_algae
1.0320093568201225,1000,coh._rotifers_algae
1.296906725492073,1000,coh._rotifers_algae
0.9864378914075055,1000,coh._rotifers_algae
1.0308911288598208,1000,coh._rotifers_algae
1.042991432554344,1000,coh._rotifers_algae
1.0562160490630699,1,incoh._rotifers_algae
1.0679517858919911,1,incoh._rotifers_algae
1.0923503245542432,1,incoh._rotifers_algae
1.1483750039395182,1,incoh._rotifers_algae
1.0591591607224704,1,incoh._rotifers_algae
1.0677063670092184,1,incoh._rotifers_algae
1.099620729616257,1,incoh._rotifers_algae
1.1491156988616056,1,incoh._rotifers_algae
1.0580345790017214,1,incoh._rotifers_algae
1.070079247865419,1,incoh._rotifers_algae
1.1007269795831403,1,incoh._rotifers_algae
1.1519580238472953,1,incoh._rotifers_algae
1.0597638962671012,1,incoh._rotifers_algae
1.0678240697533166,1,incoh._rotifers_algae
1.108819193140751,1,incoh._rotifers_algae
1.1538056487582673,1,incoh._rotifers_algae
1.0832737704604094,10,incoh._rotifers_algae
1.1193174783467907,10,incoh._rotifers_algae
1.1490040132825083,10,incoh._rotifers_algae
1.1729773436309303,10,incoh._rotifers_algae
1.08310375929097,10,incoh._rotifers_algae
1.1242248151379435,10,incoh._rotifers_algae
1.1561707437367108,10,incoh._rotifers_algae
1.17339268850259,10,incoh._rotifers_algae
1.0838768016724558,10,incoh._rotifers_algae
1.1207361427323166,10,incoh._rotifers_algae
1.1502218780164848,10,incoh._rotifers_algae
1.1727233831300614,10,incoh._rotifers_algae
1.0845168959904532,10,incoh._rotifers_algae
1.1203042265942225,10,incoh._rotifers_algae
1.1517992501408958,10,incoh._rotifers_algae
1.1729954810898509,10,incoh._rotifers_algae
1.0805203008308257,100,incoh._rotifers_algae
1.4162739951699252,100,incoh._rotifers_algae
1.4597324617692442,100,incoh._rotifers_algae
1.4903083867341067,100,incoh._rotifers_algae
1.0792046814962588,100,incoh._rotifers_algae
1.4325839058666712,100,incoh._rotifers_algae
1.46309842979443,100,incoh._rotifers_algae
1.4883771021715542,100,incoh._rotifers_algae
1.0804399637361928,100,incoh._rotifers_algae
1.4274270446838584,100,incoh._rotifers_algae
1.4724016896012473,100,incoh._rotifers_algae
1.4899054212643947,100,incoh._rotifers_algae
1.0801828924547128,100,incoh._rotifers_algae
1.4299426877143855,100,incoh._rotifers_algae
1.4681756622294126,100,incoh._rotifers_algae
1.4924779189127633,100,incoh._rotifers_algae
1.0724699252934076,1000,incoh._rotifers_algae
1.4872225729308175,1000,incoh._rotifers_algae
1.5480898110693797,1000,incoh._rotifers_algae
1.6466016650467532,1000,incoh._rotifers_algae
1.0812394245611678,1000,incoh._rotifers_algae
