TS,1-PTA,EXP
100.0,0.4050000000000001,incoh._rotifers_algae
100.0,0.47000000000000003,incoh._rotifers_algae
100.0,0.475,incoh._rotifers_algae
100.0,0.41500000000000004,incoh._rotifers_algae
1000.0,0.4,incoh._rotifers_algae
1000.0,0.42000000000000004,incoh._rotifers_algae
1000.0,0.39,incoh._rotifers_algae
1000.0,0.4,incoh._rotifers_algae
1000.0,0.41000000000000003,incoh._rotifers_algae
1000.0,0.42000000000000004,incoh._rotifers_algae
1000.0,0.395,incoh._rotifers_algae
1000.0,0.39499999999999996,incoh._rotifers_algae
1000.0,0.41000000000000003,incoh._rotifers_algae
1000.0,0.41500000000000004,incoh._rotifers_algae
1000.0,0.395,incoh._rotifers_algae
1000.0,0.38499999999999995,incoh._rotifers_algae
1000.0,0.4050000000000001,incoh._rotifers_algae
1000.0,0.41,incoh._rotifers_algae
1000.0,0.36,incoh._rotifers_algae
1000.0,0.395,incoh._rotifers_algae
1.0,0.27058823529411763,lynx_hares
1.0,0.26985294117647063,lynx_hares
1.0,0.2514705882352941,lynx_hares
1.0,0.25882352941176473,lynx_hares
1.0,0.2691176470588236,lynx_hares
1.0,0.25735294117647056,lynx_hares
1.0,0.2529411764705882,lynx_hares
1.0,0.26544117647058824,lynx_hares
1.0,0.2838235294117647,lynx_hares
1.0,0.26838235294117646,lynx_hares
1.0,0.25588235294117645,lynx_hares
1.0,0.22867647058823531,lynx_hares
1.0,0.28455882352941175,lynx_hares
1.0,0.27794117647058825,lynx_hares
1.0,0.2602941176470588,lynx_hares
1.0,0.24705882352941178,lynx_hares
10.0,0.2639705882352941,lynx_hares
10.0,0.3301470588235294,lynx_hares
10.0,0.31911764705882356,lynx_hares
10.0,0.3220588235294118,lynx_hares
10.0,0.23455882352941176,lynx_hares
10.0,0.30735294117647055,lynx_hares
10.0,0.29779411764705876,lynx_hares
10.0,0.3205882352941177,lynx_hares
10.0,0.23088235294117648,lynx_hares
10.0,0.27426470588235297,lynx_hares
10.0,0.3110294117647059,lynx_hares
10.0,0.3235294117647059,lynx_hares
10.0,0.22426470588235295,lynx_hares
10.0,0.3,lynx_hares
10.0,0.26691176470588235,lynx_hares
10.0,0.33235294117647063,lynx_hares
100.0,0.24117647058823527,lynx_hares
100.0,0.32720588235294124,lynx_hares
100.0,0.32794117647058824,lynx_hares
100.0,0.30367647058823527,lynx_hares
100.0,0.21617647058823533,lynx_hares
100.0,0.2823529411764706,lynx_hares
100.0,0.2801470588235294,lynx_hares
100.0,0.29705882352941176,lynx_hares
100.0,0.24117647058823527,lynx_hares
100.0,0.25073529411764706,lynx_hares
100.0,0.2580882352941177,lynx_hares
100.0,0.33382352941176474,lynx_hares
100.0,0.2139705882352941,lynx_hares
100.0,0.23823529411764705,lynx_hares
100.0,0.25073529411764706,lynx_hares
100.0,0.26764705882352946,lynx_hares
1000.0,0.20882352941176469,lynx_hares
1000.0,0.3544117647058823,lynx_hares
1000.0,0.3360294117647059,lynx_hares
1000.0,0.29926470588235293,lynx_hares
1000.0,0.19632352941176473,lynx_hares
1000.0,0.32573529411764707,lynx_hares
1000.0,0.29926470588235293,lynx_hares
1000.0,0.33014705882352946,lynx_hares
1000.0,0.19485294117647062,lynx_hares
1000.0,0.28970588235294115,lynx_hares
1000.0,0.28455882352941175,lynx_hares
1000.0,0.3227941176470588,lynx_hares
1000.0,0.18014705882352944,lynx_hares
1000.0,0.25441176470588234,lynx_hares
1000.0,0.28970588235294115,lynx_hares
1000.0,0.29632352941176465,lynx_hares
